tahun,wilayah,kecamatan,tenaga_kesehatan,jumlah
2020,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,dokter,23
2020,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,dokter,20
2020,Jakarta Selatan,CILANDAK,dokter,256
2020,Jakarta Selatan,JAGAKARSA ,dokter,213
2020,Jakarta Selatan,KEBAYORAN BARU,dokter,415
2020,Jakarta Selatan,KEBAYORAN LAMA,dokter,242
2020,Jakarta Selatan,MAMPANG PRAPATAN,dokter,116
2020,Jakarta Selatan,PANCORAN,dokter,154
2020,Jakarta Selatan,PASAR MINGGU,dokter,260
2020,Jakarta Selatan,PESANGGRAHAN,dokter,165
2020,Jakarta Selatan,SETIABUDI,dokter,314
2020,Jakarta Selatan,TEBET,dokter,203
2020,Jakarta Timur,JATINEGARA,dokter,134
2020,Jakarta Timur,MATRAMAN,dokter,95
2020,Jakarta Timur,PULOGADUNG,dokter,211
2020,Jakarta Timur,CAKUNG,dokter,139
2020,Jakarta Timur,DUREN SAWIT,dokter,240
2020,Jakarta Timur,KRAMAT JATI,dokter,279
2020,Jakarta Timur,MAKASAR,dokter,165
2020,Jakarta Timur,CIPAYUNG,dokter,157
2020,Jakarta Timur,PASAR REBO,dokter,296
2020,Jakarta Timur,CIRACAS,dokter,145
2020,Jakarta Pusat,Cempaka Putih,dokter,277
2020,Jakarta Pusat,Johar Baru,dokter,78
2020,Jakarta Pusat,Menteng,dokter,146
2020,Jakarta Pusat,Tanah Abang,dokter,360
2020,Jakarta Pusat,Kemayoran,dokter,504
2020,Jakarta Pusat,Senen,dokter,733
2020,Jakarta Pusat,Sawah Besar,dokter,151
2020,Jakarta Pusat,Gambir,dokter,281
2020,Jakarta Barat,KEMBANGAN,dokter,332
2020,Jakarta Barat,KEBON JERUK,dokter,292
2020,Jakarta Barat,PALMERAH,dokter,377
2020,Jakarta Barat,GROGOL PETAMBURAN,dokter,240
2020,Jakarta Barat,TAMBORA,dokter,143
2020,Jakarta Barat,TAMAN SARI,dokter,122
2020,Jakarta Barat,CENGKARENG,dokter,246
2020,Jakarta Barat,KALIDERES,dokter,243
2020,Jakarta Utara,Penjaringan,dokter,319
